direccion,lat,lon,precio,habitaciones,banos,mes_venta,anio_venta,dist_estacion
20 Cheltenham Loop,-32.24216889,115.8415516,300000.0,3,2,03,2018,791.0
20 Kalbarri Crescent,-32.25321132,115.85102,436000.0,4,2,06,2017,2200.0
20 Parkfield Boulevard,-32.24909,115.84533,370000.0,4,2,01,2016,1600.0
21 Burkett Terrace,-32.251095,115.83706,445000.0,4,2,04,2016,1900.0
21 Price Parkway,-32.24606836,115.8452615,360000.0,4,2,12,2015,1200.0
21 Waterfields Drive,-32.24062799,115.8492218,355000.0,4,2,10,2019,876.0
22 Ludlow Way,-32.23947811,115.8447957,285000.0,3,2,04,2016,528.0
22 Parkfield Boulevard,-32.24923,115.8452,370000.0,4,2,11,2017,1600.0
23 McCallum Parkway,-32.25088,115.84894,340000.0,3,2,01,2020,1900.0
23 Moombaki Avenue,-32.248662,115.839073,511000.0,4,2,11,2015,1500.0
230 Johnson Road,-32.24941,115.84724,389000.0,3,2,03,2018,1600.0
24 Burkett Terrace,-32.250542,115.836674,385000.0,4,2,03,2017,1800.0
24 Caroline Crescent,-32.2479207,115.8439749,360000.0,3,2,07,2018,1400.0
24 Daintree Loop,-32.24694984,115.8517056,425000.0,4,2,02,2018,1600.0
24 Protector Way,-32.24780858,115.8459747,359000.0,3,2,12,2015,1400.0
24 Whiteman Crescent,-32.2466,115.84974,373000.0,3,2,03,2019,1400.0
253 Johnson Road,-32.25158,115.8478,350000.0,4,2,03,2019,1900.0
26 Keyham Street,-32.23995858,115.8404052,400000.0,4,2,01,2016,591.0
26 Silverline Bend,-32.24068099,115.8446346,372500.0,4,2,02,2016,647.0
27 Chipperton Road,-32.2505896,115.8400643,485000.0,4,2,06,2017,1700.0
271 Johnson Road,-32.253499,115.847797,470000.0,4,2,12,2015,2100.0
277 Johnson Road,-32.25401,115.847798,372000.0,4,2,06,2019,2200.0
28 Burkett Terrace,-32.250511,115.836286,325000.0,4,2,09,2018,1800.0
28 Camballin Loop,-32.23901043,115.8501152,420000.0,4,2,06,2017,833.0
283 Johnson Road,-32.254521,115.847798,380000.0,4,2,10,2019,2200.0
29 Araluen Crescent,-32.249963,115.850651,302000.0,3,2,11,2017,1800.0
29 Cape York Ramble,-32.2485871,115.8518543,325000.0,4,2,04,2017,1700.0
29 Centennial Avenue,-32.24930844,115.8510977,435000.0,4,2,12,2019,1800.0
29 Dewsbury Drive,-32.24158424,115.8445674,375000.0,3,2,02,2016,744.0
2A Lilac Pass,-32.25145,115.84943,277000.0,4,2,04,2020,1900.0
3 Antrim Way,-32.23934986,115.8404113,336000.0,4,2,03,2017,512.0
3 Cape York Ramble,-32.24861754,115.8505194,370000.0,4,2,09,2020,1700.0
3 Hunter Way,-32.249171,115.840517,355000.0,4,2,12,2018,1600.0
3 Ludlow Way,-32.23935319,115.8436214,276000.0,3,2,10,2017,480.0
3 Napoleon Way,-32.24871,115.8467,320000.0,4,2,03,2017,1600.0
3 Parkfield Boulevard,-32.24780616,115.8471766,385000.0,3,2,04,2016,1500.0
30 Chieftain Street,-32.24951476,115.8407652,400000.0,4,2,10,2017,1600.0
30 Datchet Turn,-32.23873037,115.8407166,296000.0,3,2,10,2020,447.0
30 Koomba Rise,-32.24852,115.837757,445000.0,4,2,02,2016,1600.0
31 Araluen Crescent,-32.250054,115.850768,380000.0,4,2,10,2017,1800.0
31 Cape York Ramble,-32.24874041,115.8518577,360000.0,4,2,10,2019,1700.0
31 Chieftain Street,-32.24982,115.84036,420000.0,4,2,04,2016,1600.0
31 Keyham Street,-32.24033142,115.8402435,315000.0,4,2,04,2019,648.0
31 Millbrook Avenue,-32.24218438,115.8452066,270000.0,3,2,06,2020,824.0
32 Centennial Avenue,-32.24966886,115.8507753,420000.0,4,2,02,2016,1800.0
32 Parkfield Boulevard,-32.24996,115.84432,310000.0,3,2,04,2017,1700.0
32 Sanctuary Drive,-32.2450113,115.8514929,500000.0,4,2,08,2016,1400.0
33 Cape York Ramble,-32.24895447,115.8517905,399000.0,4,2,05,2018,1800.0
33 Champion Drive,-32.24795668,115.8427504,445000.0,4,2,10,2016,1400.0
34 Araluen Crescent,-32.251153,115.850607,370000.0,4,2,12,2017,1900.0
34 Burkett Terrace,-32.250402,115.835837,330000.0,4,2,09,2019,1800.0
36 Moombaki Avenue,-32.2474104,115.8400632,380000.0,4,2,12,2019,1400.0
36 Moston Crescent,-32.23937657,115.842445,355000.0,3,2,08,2016,514.0
36 Wanstead Vista,-32.24780169,115.8365698,300000.0,4,2,10,2019,1500.0
37 Datchet Turn,-32.23908486,115.8410116,310000.0,3,2,07,2016,447.0
38 Camballin Loop,-32.23901201,115.8492629,370000.0,4,2,09,2017,764.0
38 Shannon Pass,-32.25331071,115.8518857,350000.0,4,2,01,2020,2200.0
39 Araluen Crescent,-32.250551,115.851119,400000.0,3,2,11,2016,1900.0
4 Bailey Way,-32.24694965,115.8389448,432000.0,4,2,12,2018,1400.0
4 Britannia Way,-32.25009,115.84535,516000.0,4,2,02,2017,1700.0
4 Cheltenham Loop,-32.24242094,115.842339,360000.0,3,2,04,2016,811.0
4 Datchet Turn,-32.2380129,115.841925,283000.0,3,2,07,2019,328.0
4 John Forrest Circuit,-32.25315819,115.8481378,390000.0,4,2,11,2016,2100.0
4 Maynard Way,-32.24883719,115.8387817,387000.0,4,2,11,2017,1600.0
4 McCallum Parkway,-32.25244,115.84944,435000.0,4,2,02,2017,2000.0
4 Napoleon Way,-32.24898,115.84639,390000.0,5,2,01,2017,1600.0
4 Oliver Vista,-32.249546,115.836313,375000.0,4,2,01,2016,1700.0
4 Silverline Bend,-32.24286965,115.8434325,380000.0,4,2,03,2016,866.0
4 Thompson Terrace,-32.25093,115.8429,340000.0,4,2,06,2017,1800.0
4 Wimbledon Street,-32.24896405,115.8482034,485000.0,4,2,11,2015,1600.0
4 Yelka Way,-32.25037,115.84223,400000.0,3,2,11,2019,1700.0
40 Cheltenham Loop,-32.2422457,115.8402033,254000.0,3,2,04,2020,824.0
41 Chieftain Street,-32.2492909,115.8395647,479000.0,4,2,02,2016,1600.0
41 Moombaki Avenue,-32.24620038,115.839826,480000.0,4,2,04,2018,1500.0
42 Daintree Loop,-32.24732,115.85013,410000.0,4,2,10,2020,1500.0
43 Minstrell Road,-32.24690419,115.8381555,482500.0,4,2,07,2017,1400.0
46 Daintree Loop,-32.24733,115.84978,352500.0,4,2,04,2018,1500.0
46 John Forrest Circuit,-32.25341558,115.8501613,465000.0,4,2,03,2016,2200.0
46 Sanctuary Drive,-32.24525069,115.8503685,410000.0,4,2,03,2017,1300.0
47 ARALUEN CRESCENT,-32.251178,115.851103,390000.0,4,2,02,2018,2000.0
48 Moombaki Avenue,-32.246402,115.840393,482000.0,4,2,09,2017,1300.0
49 Araluen Crescent,-32.251342,115.851098,400000.0,4,2,05,2017,2000.0
5 Drummore Way,-32.25149794,115.8458667,390000.0,4,2,12,2019,1800.0
5 Jardine Pass,-32.24666,115.85057,455000.0,4,2,06,2019,1500.0
5 Kail Place,-32.246419,115.845335,365000.0,3,2,03,2018,1300.0
5 Karda Way,-32.253784,115.846039,428000.0,4,2,04,2016,2100.0
5 Orient Way,-32.25258195,115.84302,430000.0,4,2,10,2015,1900.0
5 Ostling Avenue,-32.24842001,115.8387804,336000.0,4,2,09,2017,1500.0
5 Range Way,-32.247177,115.837396,348000.0,4,2,04,2017,1400.0
5 Stratford Road,-32.2417695,115.8416586,350000.0,3,2,03,2016,746.0
5 Wimbledon Street,-32.24933564,115.8486098,325000.0,4,2,08,2018,1700.0
5 Yoorn Way,-32.24727792,115.8391521,455500.0,4,2,02,2016,1400.0
52 Cheltenham Loop,-32.24195192,115.8395041,365000.0,4,2,04,2016,814.0
53 Araluen Crescent,-32.251668,115.851101,477500.0,4,2,12,2015,2000.0
53 Parkfield Boulevard,-32.25158036,115.8435373,293000.0,4,2,10,2018,1800.0
55 Parkfield Boulevard,-32.25171533,115.8433964,416000.0,4,2,04,2016,1800.0
58 Centennial Avenue,-32.25139852,115.8514669,321500.0,3,2,01,2019,2000.0
58 Wanstead Vista,-32.24630186,115.8380863,520000.0,4,2,05,2018,1300.0
6 Bailey Way,-32.24694865,115.8391365,374000.0,4,2,02,2017,1400.0
6 Britannia Way,-32.25017,115.84554,407000.0,4,2,10,2018,1700.0
6 Burkett Terrace,-32.25066551,115.8386302,500000.0,4,2,11,2018,1800.0
6 Camballin Loop,-32.24021925,115.849905,340000.0,4,2,12,2017,896.0
6 Cheltenham Loop,-32.24236726,115.8422408,300000.0,4,2,09,2017,806.0
6 Heyford Parade,-32.24115645,115.8439901,339000.0,4,2,11,2015,686.0
6 John Forrest Circuit,-32.253328,115.848138,415000.0,4,2,05,2019,2100.0
6 Kalbarri Crescent,-32.25414481,115.850597,470000.0,4,2,07,2017,2200.0
6 Kawoor Mews,-32.24706,115.840477,500000.0,4,2,09,2018,1300.0
6 Lakewood Grove,-32.24471038,115.8497686,385000.0,4,2,09,2020,1300.0
6 Maynard Way,-32.2488335,115.8385984,430000.0,4,2,11,2017,1600.0
6 McCallum Parkway,-32.25224262,115.8494388,460000.0,6,3,12,2017,2000.0
6 Moombaki Avenue,-32.25113331,115.8396161,455000.0,4,2,02,2016,1800.0
6 Napoleon Way,-32.24904,115.84652,339000.0,3,2,05,2017,1600.0
6 Renton Way,-32.23855136,115.8416421,358000.0,3,2,06,2016,311.0
6 Warrior Pass,-32.24807,115.84584,270000.0,3,2,01,2019,1500.0
6 Yelka Way,-32.25022,115.84234,368000.0,4,2,11,2016,1700.0
6 Yirel Close,-32.25104927,115.8399696,400000.0,4,2,06,2019,1800.0
6 Yoorn Way,-32.24770434,115.8390965,365000.0,4,2,11,2019,1400.0
62 Champion Drive,-32.247766,115.841025,430000.0,4,2,05,2017,1400.0
63 Centennial Avenue,-32.25204349,115.8520219,359000.0,4,2,09,2017,2100.0
67 Sanctuary Drive,-32.24564701,115.8507416,362500.0,4,2,10,2019,1400.0
7 Ameer Crescent,-32.24937,115.84659,410000.0,4,2,01,2016,1600.0
7 CAPE YORK RAMBLE,-32.24839828,115.8503471,440000.0,4,2,12,2015,1600.0
7 Daintree Loop,-32.24592,115.85003,429900.0,5,2,09,2016,1400.0
7 Diadem Crescent,-32.25113609,115.8453898,373000.0,4,2,08,2017,1800.0
7 Drummore Way,-32.25134985,115.8459641,467800.0,4,2,04,2016,1800.0
7 Euston Link,-32.24164736,115.8408499,325000.0,4,2,12,2018,743.0
7 Everglades Link,-32.25421679,115.8489151,350000.0,4,2,10,2018,2200.0
7 Millom Way,-32.23868393,115.8442695,360000.0,3,2,02,2016,426.0
7 Tain Way,-32.23976873,115.8449361,300000.0,3,2,02,2019,563.0
7 Tranby Way,-32.24872,115.84486,405000.0,3,2,04,2016,1500.0
7 Yirel Close,-32.25127968,115.8403057,350000.0,4,2,12,2015,1800.0
70 Wanstead Vista,-32.24611517,115.8395506,515000.0,5,3,12,2016,1300.0
74 Centennial Avenue,-32.25256783,115.8515452,329000.0,4,2,01,2019,2100.0
74 Price Parkway,-32.24339206,115.8432809,405000.0,4,2,01,2016,876.0
75 Sanctuary Drive,-32.24564796,115.8499691,380000.0,4,2,12,2020,1400.0
76 Centennial Avenue,-32.25257401,115.8513705,360000.0,4,2,02,2016,2100.0
8 Camborne Approach,-32.24247389,115.8446845,326000.0,4,2,09,2019,841.0
8 Centennial Avenue,-32.24821,115.84885,362000.0,4,2,08,2017,1600.0
8 Corrour Bend,-32.23877211,115.8440365,285000.0,3,2,11,2017,377.0
8 Daintree Loop,-32.24632,115.85082,387000.0,4,2,02,2016,1500.0
8 Dewsbury Drive,-32.243465,115.8439004,307000.0,3,2,05,2020,936.0
8 Drummore Way,-32.25186097,115.8461173,360000.0,4,2,04,2019,1900.0
8 Kalbarri Crescent,-32.25412458,115.8507847,370000.0,4,2,12,2020,2300.0
8 Leeuwin Chase,-32.254571,115.849155,375000.0,4,2,10,2015,2300.0
8 Minstrell Road,-32.25006,115.83868,457000.0,4,2,11,2015,1700.0
8 Moombaki Avenue,-32.25095295,115.8396156,490000.0,4,2,03,2019,1800.0
8 Napoleon Way,-32.24909,115.84665,316000.0,4,2,11,2020,1600.0
8 Protector Way,-32.246519,115.845632,380000.0,4,2,08,2016,1300.0
8 Sanctuary Drive,-32.243408,115.849358,470000.0,4,2,03,2016,1100.0
8 Silverline Bend,-32.242637,115.8436578,385000.0,4,2,11,2017,842.0
82 Price Parkway,-32.2429662,115.8431246,312000.0,3,2,08,2020,875.0
84 Cheltenham Loop,-32.24096632,115.8416719,152000.0,4,2,05,2016,672.0
86 Cheltenham Loop,-32.24096772,115.841831,390000.0,4,2,10,2016,656.0
87 Johnson Road,-32.23955761,115.8482945,419000.0,4,2,06,2018,733.0
9 Cape York Ramble,-32.24826,115.850157,429000.0,4,2,11,2019,1600.0
9 Champion Drive,-32.247409,115.845795,329000.0,4,2,06,2019,1400.0
9 Ganges Way,-32.24826257,115.8473661,315000.0,3,2,06,2017,1500.0
9 Kalbarri Crescent,-32.25327573,115.8505062,442000.0,4,2,03,2017,2200.0
9 Kawoor Mews,-32.24743806,115.8403918,380000.0,6,3,02,2020,1400.0
90 Centennial Avenue,-32.25257424,115.8496942,376000.0,4,2,02,2019,2100.0
91 Price Parkway,-32.24197262,115.8424998,330000.0,3,2,09,2018,763.0
93 Centennial Avenue,-32.25298,115.84895,350000.0,4,2,02,2019,2100.0
98 Centennial Avenue,-32.25249,115.84857,441000.0,4,2,03,2016,2000.0
